map,cmd,stars,MWSC,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
 , , , , ,deg,deg,deg,deg,deg,mas/yr,mas/yr,km/s,pc,mag,[yr],pc,pc,pc-2, ,[Sun],
---,---,-----,----,-,-------,-------,-------,-------,-------,-------,-------,-------,--------,-------,-------,--------,--------,--------,---,--------,------
map,cmd,stars,2034, ,186.967,-48.475,  0.020,  0.065,  0.115,  -9.90,   3.17,       ,    4467,  0.000,  9.350,    1.74,   16.58,    0.90,   ,        ,Simbad
map,cmd,stars,2035, ,187.117,-60.110,  0.025,  0.075,  0.125, -11.40,  -4.73,       ,    1659,  0.312,  7.710,    0.87,    8.03,    7.69,   ,        ,Simbad
map,cmd,stars,2036,r,187.110,-56.430,  0.012,  0.060,  0.090, -10.49,   0.97,       ,    2082,  0.645,  9.115,    0.43,    7.61,    3.94,   ,        ,Simbad
map,cmd,stars,2037, ,187.185,-59.810,  0.010,  0.050,  0.085,  -9.48,  -4.00,       ,    1036,  0.229,  8.100,    0.39,    3.75,   40.53,   ,        ,Simbad
map,cmd,stars,2038, ,187.147,-60.925,  0.015,  0.055,  0.100,  -7.93,  -1.03,       ,    1250,  0.071,  8.310,    2.25,    4.33,    5.07,   ,        ,Simbad
map,cmd,stars,2039, ,187.132,-66.560,  0.018,  0.110,  0.171,  -9.01,   1.01,       ,    1828,  0.437,  8.900,    2.44,    6.90,   21.92,irc,        ,Simbad
map,cmd,stars,2040, ,187.327,-63.430,  0.012,  0.075,  0.130,  -6.81,  -1.77,       ,    1963,  1.041,  8.300,    1.19,    8.89,    2.56,   ,        ,Simbad
map,cmd,stars,2041, ,187.402,-57.865,  0.020,  0.070,  0.145,  -4.35,   2.67,       ,    2255,  0.729,  8.900,    0.38,    9.77,   11.47,   ,        ,Simbad
map,cmd,stars,2042, ,187.485,-64.790,  0.020,  0.080,  0.140,  -3.61,  -0.30,  -24.5,    1115,  0.354,  7.970,    0.61,    5.68,   45.00,   ,        ,Simbad
map,cmd,stars,2043,r,187.972,-46.477,  0.015,  0.110,  0.170, -11.73,   0.51,       ,    1965,  0.104,  9.490,    0.80,    9.40,    4.08,   ,        ,Simbad
map,cmd,stars,2044, ,188.272,-60.930,  0.025,  0.110,  0.180,  -5.94,  -0.75,       ,    1229,  0.160,  8.205,    2.74,    6.94,    3.10,   ,        ,Simbad
map,cmd,stars,2046,r,188.520,-29.400,  0.030,  0.175,  0.280,  -5.93,  -0.17,       ,    1585,  0.000,  9.600,    0.78,   14.04,    4.10,ast,        ,Simbad
map,cmd,stars,2047, ,188.475,-61.575,  0.035,  0.115,  0.195,  -8.50,  -0.64,       ,    1250,  0.050,  9.100,    1.39,    6.83,    8.97,   ,        ,Simbad
