Name,RAB1950,DEB1950,pm,pmPA,RV,Sp,Vmag,B-V,plx,_RA,_DE
Gl 17.3 ,00 20 18,-12 29.2, 0.396, 80.6,  -2.6,G2 V        ,  6.38, 0.66,  53.0,00 22 52,-12 12.5
GJ 1010 ,00 20 41,+76 54.7, 0.800,273.0,      ,k-m         , 11.30, 1.49,  63.7,00 23 31,+77 11.4
GJ 1010 ,00 20 43,+76 54.8, 0.800,273.0,      ,m           , 14.00,     ,  63.7,00 23 33,+77 11.5
GJ 2004 ,00 20 46,-33 26.8, 0.147,332.5,      ,K3/4 V      ,  8.75, 1.07,  43.0,00 23 15,-33 10.1
NN 3032 ,00 20 50,-51 10.3, 0.555, 91.5,      ,M4          , 11.88, 1.48,  55.0,00 23 19,-50 53.7
GJ 1011 ,00 20 52,+24 01.5, 0.259,298.0,      ,k-m         , 14.27, 1.59,  61.1,00 23 28,+24 18.2
Gl 18   ,00 21 53,-27 18.3, 0.679, 82.4,   3.7,K3 V        ,  7.92, 0.95,  52.0,00 24 26,-27 01.6
NN 3033 ,00 21 55,+29 45.8, 0.605, 90.2,      ,m           , 14.54, 1.67,  53.0,00 24 35,+30 02.4
GJ 2005 ,00 22 12,-27 26.0, 0.614,354.9,-220.0,M5.5        , 15.42,     , 132.8,00 24 42,-27 08.9
NN 3034 ,00 22 45,+22 37.0, 0.520,204.7,      ,m           , 14.30,     ,  53.0,00 25 21,+22 53.2
Gl 19   ,00 23 09,-77 32.1, 2.250, 81.6,  22.9,G2 IV       ,  2.80, 0.62, 155.4,00 25 45,-77 15.2
Gl 20   ,00 23 45,-43 57.4, 0.112, 70.2,  11.3,A7 Vn       ,  3.94, 0.17,  71.2,00 26 12,-43 40.8
Gl 21   ,00 24 00,+69 52.1, 0.230,219.0,      ,dM0         , 10.52, 1.49,  54.4,00 26 53,+70 08.5
NN 3035 ,00 24 22,+49 25.5, 0.477,123.6,      ,m           , 14.25,     ,  47.1,00 27 07,+49 41.9
GJ 1012 ,00 26 08,-06 55.8, 0.870,202.3,  51.0,M4          , 12.19, 1.48,  74.8,00 28 40,-06 39.9
NN 3036 ,00 26 09,+50 05.9, 0.440, 74.0,      ,m           , 13.15,     ,  76.0,00 28 55,+50 22.6
GJ 1013 ,00 29 02,-06 07.9, 1.098,163.1,      ,m           , 12.75, 1.64,  61.6,00 31 36,-05 52.2
Gl 22   ,00 29 20,+66 57.8, 1.748, 97.8,  -4.0,dM2.5e      , 10.38, 1.54, 100.6,00 32 30,+67 14.1
Gl 22   ,00 29 20,+66 57.8, 1.748, 97.8,      ,dM3.5       , 12.40,     , 100.6,00 32 30,+67 14.1
NN 3037 ,00 29 34,-03 10.7, 0.653, 76.7,      ,g-k         , 17.34,     ,  43.1,00 32 09,-02 54.0
NN 3038 ,00 29 56,-63 21.9, 0.518,101.7,      ,K7          ,  9.61, 1.35,  34.3,00 32 16,-63 05.4
NN 3039 ,00 30 00,+07 13.0, 0.186,111.0,      ,m           , 12.70,     ,  86.0,00 32 36,+07 29.5
Wo 9015 ,00 30 28,-63 18.4, 0.092,111.7,   5.0,A0 V        ,  5.75, 0.04,  47.8,00 32 44,-63 01.9
Wo 9015 ,00 30 28,-63 18.4, 0.092,111.7,      ,A           ,  6.00,     ,  47.8,00 32 44,-63 01.9
NN 3040 ,00 31 30,+70 55.5, 0.596,120.0,      ,k-m         , 13.52, 1.65,  50.5,00 34 37,+71 11.8
Wo 9016 ,00 31 43,+47 38.4, 0.410, 80.2, -10.5,F8          ,  7.37, 0.54,  20.0,00 34 29,+47 55.0
Gl 22.2 ,00 32 05,-52 39.0, 0.233, 80.5,  34.8,F3 IV-V     ,  5.57, 0.46,  49.0,00 34 27,-52 22.4
Gl 23   ,00 32 40,-03 52.1, 0.411, 92.9,  11.2,F6 V        ,  5.65, 0.57,  61.4,00 35 14,-03 35.6
Gl 23   ,00 32 40,-03 52.1, 0.411, 92.9,   8.8,G1 V        ,  6.40,     ,  61.4,00 35 14,-03 35.6
GJ 1014 ,00 33 16,+10 12.4, 1.186,110.5,      ,            , 15.32, 1.89,  64.0,00 35 55,+10 28.6
NN 3041 ,00 33 18,-48 16.5, 0.111,150.2,   7.6,F6 V        ,  5.51, 0.44,  40.0,00 35 41,-48 00.1
NN 3042 ,00 33 26,+45 14.5, 0.298,242.0,      ,M2          , 11.71, 1.54,  58.0,00 36 09,+45 30.9
NN 3043 ,00 33 49,+08 36.0, 0.042,190.3,      ,G5          ,  7.87,     ,  46.0,00 36 24,+08 52.5
Gl 24   ,00 34 14,-49 24.3, 0.407,108.5,  -3.0,G3 V        ,  6.79, 0.64,  33.0,00 36 38,-49 07.9
Gl 24   ,00 33 40,-49 24.1, 0.410,109.4,   4.7,K0 V        ,  8.37, 0.78,  33.0,00 36 04,-49 07.7
Gl 25   ,00 34 47,-25 02.5, 1.394, 90.3,  18.6,G7 V        ,  6.23, 0.72,  72.1,00 37 21,-24 46.0
Gl 25   ,00 34 47,-25 02.5, 1.394, 90.3,  25.0,G8 V        ,  6.40,     ,  72.1,00 37 21,-24 46.0
GJ 2010 ,00 34 56,-21 10.1, 0.316,229.0,      ,DA7         , 14.53, 0.45,  62.0,00 37 25,-20 53.8
NN 3044 ,00 35 28,+52 03.6, 0.250,192.0,      ,M0          , 10.48, 1.42,  44.0,00 38 15,+52 19.9
NN 3045 ,00 35 48,+51 11.4, 0.270,277.0,      ,m           , 12.60,     ,  49.0,00 38 34,+51 27.9
Gl 26   ,00 36 13,+30 20.5, 1.561, 88.3,  -0.2,dM4         , 11.06, 1.53,  79.5,00 38 59,+30 37.0
NN 3046 ,00 36 40,+60 16.9, 0.294,211.0,      ,m           , 12.83,     ,  39.0,00 39 32,+60 33.2
Gl 27   ,00 36 45,+20 58.9, 0.588,231.2, -32.9,K0+ V       ,  5.85, 0.85,  95.1,00 39 21,+21 15.1
Gl 27.1 ,00 37 34,-44 31.5, 0.546,115.5,      ,M0.5        , 11.40, 1.49,  43.0,00 39 59,-44 15.2
Gl 27.2 ,00 38 02,-24 04.4, 0.722,117.0, -50.4,G3 V        ,  6.15, 0.71,  40.1,00 40 33,-23 48.2
Gl 28   ,00 38 04,+39 55.3, 0.746,152.4, -64.2,K2 Ve       ,  7.36, 0.94,  58.5,00 40 49,+40 11.2
Gl 29   ,00 38 06,-59 44.1, 0.990, 62.8,   1.5,G1 V        ,  5.90, 0.56,  56.7,00 40 26,-59 27.3
NN 3047 ,00 38 16,+31 06.8, 0.319,188.0,      ,m           , 13.83,     ,  53.0,00 40 57,+31 23.0
GJ 1015 ,00 38 28,+55 33.6, 0.313,104.0,      ,m           , 14.02, 1.55,  43.3,00 41 21,+55 50.0
GJ 1015 ,00 38 29,+55 33.7, 0.313,104.0,      ,DQ5         , 14.08, 0.02,  43.3,00 41 22,+55 50.1
GJ 2012 ,00 38 58,-22 37.2, 0.567,229.0,      ,DQ9         , 14.53, 0.62, 100.8,00 41 25,-22 21.1
GJ 1016 ,00 39 05,-33 53.9, 0.450,237.0,      ,k           , 10.60, 1.40,  45.0,00 41 29,-33 37.7
GJ 1017 ,00 39 45,-52 38.5, 0.736,117.4,      ,m           , 12.25,     ,  45.7,00 42 07,-52 22.3
GJ 1018 ,00 39 53,-36 59.5, 0.180,293.0,      ,m           , 12.65, 1.54,  54.0,00 42 17,-36 43.0
Gl 29.1 ,00 40 05,+35 16.4, 0.266, 70.0,  -0.5,dM0  e      , 10.52, 1.50,  47.2,00 42 48,+35 32.9
Gl 30   ,00 40 52,+33 34.6, 0.406,209.3, -34.7,dK5         ,  8.73, 1.12,  54.7,00 43 33,+33 50.7
GJ 1019 ,00 40 56,+28 11.1, 1.062,187.0,      ,m           , 14.52, 1.59,  51.9,00 43 36,+28 26.6
NN 3048 ,00 41 02,+23 36.9, 0.213,149.9,      ,dM0         , 10.97, 1.34,  42.3,00 43 42,+23 53.2
Gl 31   ,00 41 05,-18 15.6, 0.234, 81.0,  13.3,K1 IIIe     ,  2.04, 1.01,  54.5,00 43 36,-17 59.2
NN 3049 ,00 41 05,-41 33.6, 0.744,222.5,      ,M4          , 13.10,     , 101.0,00 43 26,-41 17.6
NN 3050 ,00 41 36,+75 39.9, 0.395,103.2,  -8.4,G8          ,  7.19, 0.75,  48.0,00 45 05,+75 56.2
NN 3051 ,00 41 42,+12 20.8, 0.330,127.0,      ,m           , 12.79, 1.49,  55.0,00 44 19,+12 37.0
NN 3052 ,00 41 42,+08 51.2, 0.809, 91.5,      ,m           , 13.80,     ,  81.0,00 44 20,+09 07.6
Wo 9024 ,00 41 58,-26 47.5, 0.345, 62.4,  55.4,G5 V        ,  7.79, 0.67,  28.0,00 44 27,-26 31.0
Gl 31.2 ,00 42 07,-19 13.4, 0.350, 60.0,  27.0,dM2         , 10.78, 1.44,  41.0,00 44 37,-18 56.8
Gl 31.2 ,00 42 05,-19 13.7, 0.350, 60.0,      ,m           , 16.30,     ,  41.0,00 44 35,-18 57.1
Gl 31.3 ,00 42 16,-22 16.8, 0.107,324.6,  13.2,F2 V        ,  5.23, 0.34,  46.3,00 44 44,-22 00.3
NN 3053 ,00 42 29,-15 32.3, 0.662,151.8,      ,m           , 14.20,     ,  72.0,00 45 00,-15 16.4
Gl 31.4 ,00 42 31,+01 31.2, 0.572,185.3,   9.9,K2 V        ,  8.01, 1.00,  51.0,00 45 05,+01 47.1
Gl 31.5 ,00 42 32,-65 54.8, 0.760,167.0,  97.7,G3 V        ,  6.54, 0.65,  49.0,00 44 39,-65 39.0
GJ 1020 ,00 42 58,-13 09.1, 0.202,190.9, -12.8,G0 V        ,  6.15, 0.61,  50.0,00 45 29,-12 52.9
NN 3054 ,00 43 12,-51 54.0, 0.094,124.0,      ,M3          , 11.91, 1.48,  43.0,00 45 30,-51 37.7
Gl 32   ,00 43 25,-42 10.9, 0.312,104.1, -26.3,K5 V        ,  8.41, 1.17,  81.4,00 45 48,-41 54.6
Gl 32   ,00 43 25,-42 10.9, 0.262,114.1, -22.6,K7 V        ,  9.06, 1.27,  81.4,00 45 48,-41 54.6
GJ 1021 ,00 43 25,-47 49.6, 0.202, 65.1, -11.4,G5 IV       ,  5.80, 0.64,  48.1,00 45 45,-47 33.1
NN 3055 ,00 44 27,-26 24.6, 0.286, 47.0,      ,M3 :        , 13.98, 1.64,  40.0,00 46 55,-26 08.1
NN 3056 ,00 44 40,-23 46.8, 0.207,141.0,      ,m           , 14.40,     ,  54.0,00 47 08,-23 30.6
Wo 9029 ,00 45 08,-37 12.5, 0.393,207.4, -26.0,F7/8 V      ,  7.85, 0.54,  40.7,00 47 31,-36 56.4
Wo 9029 ,00 45 07,-37 13.4, 0.396,206.0,      ,m           , 15.50,     ,  40.7,00 47 30,-36 57.3
Gl 33   ,00 45 45,+05 01.4, 1.367,146.4, -10.0,K2 V        ,  5.74, 0.88, 135.9,00 48 23,+05 16.8
Gl 34   ,00 46 03,+57 33.1, 1.213,114.9,   8.2,G3 V        ,  3.45, 0.57, 168.4,00 49 05,+57 49.0
Gl 34   ,00 46 03,+57 33.1, 1.213,114.9,  10.5,K7 V        ,  7.51, 1.39, 168.4,00 49 05,+57 49.0
NN 3057 ,00 46 06,+26 45.0, 0.314,209.0,      ,M4          , 12.38, 1.52,  43.0,00 48 46,+27 01.1
NN 3058 ,00 46 10,+44 18.5, 0.187,127.0,      ,m           , 13.06,     ,  54.0,00 48 58,+44 34.7
Gl 34.1 ,00 46 21,+16 40.3, 0.199,180.8,   3.8,F8 V        ,  5.07, 0.51,  55.0,00 48 59,+16 56.5
Gl 35   ,00 46 31,+05 09.2, 2.980,155.7,  54.0,DZ7         , 12.38, 0.55, 230.9,00 49 10,+05 23.3
NN 3059 ,00 46 43,-50 24.9, 0.323,131.0,      ,M2          , 10.75, 1.43,  48.0,00 49 01,-50 08.7
Gl 36   ,00 46 57,-23 29.2, 0.534, 77.8,   5.0,G9 V        ,  7.16, 0.78,  62.5,00 49 27,-23 12.8
GJ 1022 ,00 47 18,-61 17.7, 1.119, 94.0,  -2.0,M6          , 12.16, 1.46,  46.0,00 49 34,-61 01.4
Gl 37   ,00 47 37,-10 54.8, 0.322,225.5,   8.2,F7 IV-V     ,  5.17, 0.50,  61.8,00 50 07,-10 38.7
NN 3060 ,00 47 52,+24 32.7, 0.220,102.0,      ,m           , 12.70,     ,  71.0,00 50 33,+24 49.0
