Name,RAB1950,DEB1950,pm,pmPA,RV,Sp,Vmag,B-V,plx,_RA,_DE
Gl 414  ,11 08 18,+30 43.2, 0.618,110.2, -15.0,M2 V        ,  9.98, 1.52,  73.2,11 11 03,+30 26.7
Gl 414.1,11 08 35,+43 41.7, 0.766,236.9, -10.5,M3          , 11.47, 1.49,  61.0,11 11 20,+43 25.1
Gl 414.1,11 08 35,+43 41.7, 0.766,236.9, -19.0,M3          , 11.82, 1.54,  61.0,11 11 20,+43 25.1
Gl 415  ,11 08 43,-10 41.2, 1.067,302.4,  40.0,K4          ,  9.24, 1.10,  43.0,11 11 11,-10 57.0
Gl 416  ,11 09 01,-14 42.7, 0.925,129.3,  -9.8,K4 V        ,  9.05, 1.21,  54.8,11 11 33,-14 59.5
NN 3647 ,11 09 09,+33 48.4, 0.203,299.0,      ,dM4         , 12.38,     ,  82.0,11 11 52,+33 32.2
Gl 416.1,11 09 12,-22 33.1, 0.105,179.9,   6.4,A2 III      ,  4.48, 0.03,  52.3,11 11 40,-22 49.5
NN 3648 ,11 09 33,-25 51.8, 0.279,105.0,  56.7,G8/K0 V     ,  7.05, 0.77,  45.0,11 12 01,-26 08.2
Gl 417  ,11 09 49,+36 05.3, 0.302,236.6,  -3.2,G0 V        ,  6.41, 0.61,  44.0,11 12 32,+35 48.8
NN 3649 ,11 10 00,+19 12.4,      ,     ,      ,M1          , 10.77, 1.50,  68.0,11 12 39,+18 56.1
Gl 418  ,11 10 39,+04 45.3, 0.320,261.7,  20.8,K5 V        ,  8.69, 1.18,  56.0,11 13 13,+04 28.9
NN 3650 ,11 10 40,+00 30.7, 0.471,240.0,      ,K7          , 10.24, 1.46,  50.0,11 13 12,+00 14.2
Gl 419  ,11 11 27,+20 47.9, 0.196,133.4, -20.2,A4 V        ,  2.56, 0.12,  45.6,11 14 06,+20 31.4
NN 3651 ,11 11 53,+25 58.9, 0.117,292.2,   2.0,K1 V        ,  7.76, 0.84,  44.0,11 14 33,+25 42.6
Gl 420  ,11 11 57,+73 44.8, 0.417,284.9,   8.1,dK5         ,  7.68, 1.06,  81.6,11 15 12,+73 28.5
Gl 420  ,11 11 57,+73 44.8, 0.417,284.9,   8.6,M2          , 11.40,     ,  81.6,11 15 12,+73 28.5
GJ 1143 ,11 12 21,-22 49.6, 0.450,215.3,      ,K4 V        ,  8.98, 1.14,  51.0,11 14 48,-23 06.3
GJ 1143 ,11 12 21,-22 49.6, 0.450,215.3,      ,            , 13.50,     ,  51.0,11 14 48,-23 06.3
NN 3652 ,11 12 33,+19 44.0, 0.476,162.6,      ,m           , 12.89, 1.58,  57.0,11 15 12,+19 27.3
Gl 421  ,11 12 50,-17 51.7, 0.754,169.3,   5.0,K7 V        ,  9.97, 1.36,  63.6,11 15 20,-18 08.7
Gl 421  ,11 12 51,-17 51.6, 0.754,169.3,  18.0,K7 V        , 10.04, 1.38,  63.6,11 15 21,-18 08.6
Gl 421  ,11 12 46,-17 50.6, 0.754,169.3,  18.0,M3.5        , 13.64, 1.58,  63.6,11 15 16,-18 07.6
NN 3653 ,11 13 01,+55 36.2,      ,     ,      ,M0          , 11.22, 1.41,  42.0,11 15 54,+55 19.8
Gl 421.1,11 13 12,+53 02.7, 0.171, 72.6, -42.1,F6 V        ,  6.50, 0.43,  26.0,11 16 04,+52 46.4
Gl 421.1,11 13 12,+53 02.9, 0.191, 73.6, -42.4,F9 V        ,  8.03, 0.60,  26.0,11 16 04,+52 46.6
GJ 1144 ,11 13 52,-14 25.1, 0.227,245.0,      ,K7 V        , 10.00, 1.40,  53.0,11 16 22,-14 41.6
Gl 422  ,11 14 03,-57 17.5, 2.733,294.9, -72.0,m           , 11.65, 1.47,  76.7,11 16 01,-57 32.9
NN 3654 ,11 14 13,-27 40.3, 0.951,211.7,      ,M4          , 13.70,     ,  64.0,11 16 38,-27 57.4
GJ 1145 ,11 14 40,-27 32.4, 0.186,122.5,      ,M0 V        ,  9.79, 1.40,  58.0,11 17 08,-27 48.9
Wo 9356 ,11 14 42,-01 42.5, 0.567,268.1,   4.0,dK6         ,  9.78, 1.17,  32.0,11 17 13,-01 58.9
Gl 423  ,11 15 31,+31 48.6, 0.727,216.2, -15.9,G0 Ve       ,  4.33, 0.59,  96.0,11 18 11,+31 31.7
Gl 423  ,11 15 31,+31 48.6, 0.727,216.2, -13.6,G0 Ve       ,  4.80,     ,  96.0,11 18 11,+31 31.7
Gl 423.1,11 15 47,-04 47.5, 0.810,101.4,  13.1,G8 V        ,  7.29, 0.73,  44.0,11 18 22,-05 04.0
Gl 424  ,11 17 29,+66 07.0, 2.961,273.6,  60.0,M1 V        ,  9.31, 1.41, 114.0,11 20 05,+65 50.7
Gl 425  ,11 18 57,-20 10.7, 0.233,126.6,   7.4,K4/5 V  J   ,  8.74, 1.36,  63.5,11 21 27,-20 27.3
Gl 425  ,11 18 57,-20 10.7, 0.233,126.6,      ,m           , 11.00,     ,  63.5,11 21 27,-20 27.3
GJ 1146 ,11 19 06,+06 26.1, 1.749,206.0,      ,k-m         , 13.58, 1.64,  54.0,11 21 38,+06 08.3
Gl 426  ,11 19 12,+18 27.9, 0.183,235.4,  -4.1,K0          ,  8.03, 0.89,  40.0,11 21 49,+18 11.4
Gl 426  ,11 19 12,+18 27.9, 0.183,235.4,      ,K7          , 10.70,     ,  40.0,11 21 49,+18 11.4
NN 3655 ,11 19 20,-12 56.6, 0.515,261.0,  30.0,M8          , 19.57,     ,  70.2,11 21 49,-13 13.1
NN 3656 ,11 19 21,+47 11.1, 0.265,232.4,      ,K6          ,  9.80,     ,  43.0,11 22 06,+46 54.5
GJ 2084 ,11 19 37,-24 30.2, 0.089,249.6,      ,K4 V  J     ,  9.08, 1.26,  68.0,11 22 05,-24 46.7
NN 3657 ,11 20 33,+26 10.4, 1.059,252.0,      ,m           , 15.14, 1.84,  57.7,11 23 08,+25 53.7
NN 3658 ,11 20 37,+45 05.2, 0.315,248.0,      ,m           , 12.74,     ,  41.0,11 23 20,+44 48.6
GJ 2085 ,11 21 13,+08 50.1, 1.036,278.4,  58.0,dM1         , 11.18, 1.48,  48.0,11 23 45,+08 33.8
NN 3659 ,11 21 29,-18 05.3, 0.616,266.7,      ,M3          , 13.05,     ,  60.0,11 23 57,-18 21.8
Gl 427  ,11 21 39,+21 38.1, 1.050,270.2,  51.0,DA7         , 14.24, 0.28,  74.2,11 24 13,+21 21.6
NN 3660 ,11 22 13,+78 32.6, 0.678,248.9,      ,M2.5        , 12.15,     ,  44.0,11 25 27,+78 15.9
NN 3661 ,11 22 01,+78 33.7, 0.678,248.9,      ,M3          , 12.65,     ,  44.0,11 25 16,+78 17.0
NN 3662 ,11 22 18,+40 16.7, 0.122,254.0,   4.0,dM0         , 10.33, 1.36,  44.0,11 25 00,+40 00.2
Gl 428  ,11 22 29,-61 22.4, 0.490,277.1,   4.7,K7 V        ,  7.50, 1.26,  90.9,11 24 40,-61 38.8
Gl 428  ,11 22 29,-61 22.4, 0.490,277.1,   4.5,M0 Ve       ,  8.30,     ,  90.9,11 24 40,-61 38.8
NN 3663 ,11 23 33,-63 41.8, 0.318,257.3,  -5.0,F7 V +F7V   ,  5.17, 0.50,  40.9,11 25 44,-63 58.4
Gl 429  ,11 24 13,+03 17.1, 0.747,283.6,   3.8,K0 IV       ,  6.50, 0.80,  60.4,11 26 45,+03 00.7
Gl 429  ,11 24 14,+03 16.7, 0.745,284.7,   1.7,K2 IV-V     ,  7.58, 1.00,  60.4,11 26 46,+03 00.3
NN 3664 ,11 25 04,+04 15.2, 0.095,288.0,      ,dM0         , 10.68, 1.42,  43.0,11 27 38,+03 58.7
Gl 429.2,11 25 26,-08 53.7, 0.994,148.6,      ,M2          , 12.37, 1.46,  41.8,11 28 00,-09 10.9
NN 3665 ,11 26 08,+48 30.3, 0.074,327.7,      ,G5          ,  7.89,     ,  43.0,11 28 52,+48 13.8
NN 3666 ,11 26 23,+10 26.8, 0.929,306.5,      ,M3          , 12.56, 1.60,  63.8,11 28 56,+10 10.7
NN 3667 ,11 26 42,+18 33.2,      ,     ,      ,DC8         , 13.79,     , 114.0,11 29 19,+18 16.7
Gl 429.3,11 27 28,-51 23.3, 0.358,283.4,   7.0,F6 V        ,  7.38, 0.41,  51.1,11 29 48,-51 39.8
Gl 429.4,11 28 18,-56 51.5, 0.557,272.7,  -2.7,K4 Ve       ,  8.33, 1.06,  50.0,11 30 35,-57 08.0
Gl 430  ,11 28 22,+63 26.0, 0.060, 81.0,  -6.0,dM0         , 10.02, 1.33,  48.0,11 31 14,+63 09.5
NN 3668 ,11 28 35,-14 39.6, 1.393,164.0,      ,m           , 14.29, 1.81,  78.0,11 31 08,-14 57.3
Gl 430.1,11 29 08,+22 56.5, 0.580,270.0,  -5.1,dM1  e      , 10.30, 1.48,  56.7,11 31 43,+22 39.9
NN 3669 ,11 29 10,+14 38.6, 0.383,240.1,  -4.2,G0 V        ,  6.20, 0.57,  41.0,11 31 45,+14 21.9
NN 3670 ,11 29 10,+14 38.6, 0.383,240.1, -10.3,K6 IV       ,  9.22, 1.14,  41.0,11 31 45,+14 21.9
Gl 431  ,11 29 23,-40 46.3, 0.717,290.1, -78.0,M3.5        , 11.52, 1.54,  94.3,11 31 46,-41 02.7
Gl 431.1,11 29 32,+61 21.6, 0.076,180.5, -47.9,F6 V        ,  5.74, 0.50,  43.9,11 32 21,+61 05.0
Gl 431.1,11 29 32,+61 21.6, 0.076,180.5,      ,G3 V        ,  7.10,     ,  43.9,11 32 21,+61 05.0
Wo 9367 ,11 31 48,+03 20.3, 0.214,239.6,   3.0,F6 V        ,  5.77, 0.46,  38.0,11 34 22,+03 03.6
Gl 432  ,11 32 03,-32 34.0, 1.061,320.8, -22.6,K0 V        ,  5.98, 0.81, 101.7,11 34 29,-32 49.9
Gl 432  ,11 32 04,-32 34.1, 1.061,320.8,      ,m           , 15.00,     , 101.7,11 34 30,-32 50.0
NN 3671 ,11 32 09,-23 35.6, 0.681,245.9,      ,M1          , 11.17, 1.53,  47.0,11 34 37,-23 52.4
NN 3672 ,11 32 33,-05 22.0, 0.994,161.6,      ,m           , 15.10,     ,  60.0,11 35 07,-05 39.4
NN 3673 ,11 32 55,+39 12.3, 0.701,252.3,      ,m           , 13.11,     ,  59.0,11 35 32,+38 55.5
Gl 433  ,11 32 58,-32 15.1, 0.831,185.1,  28.0,M2 V        ,  9.83, 1.51,  90.5,11 35 27,-32 32.4
NN 3674 ,11 34 00,+39 28.3, 0.588,131.9, -42.0,K5          , 10.03, 1.35,  45.0,11 36 42,+39 11.4
Gl 433.1,11 34 28,+30 04.6, 0.150,262.0,      ,DA3         , 12.50,-0.06,  45.0,11 37 05,+29 48.0
NN 3675 ,11 34 43,+82 05.2, 0.429, 90.0,      ,m           , 11.77, 1.50,  50.0,11 38 15,+81 48.6
NN 3676 ,11 34 55,+58 59.5, 0.370,240.0,      ,m           , 12.57,     ,  42.0,11 37 38,+58 42.7
GJ 1147 ,11 36 03,-41 05.6, 0.961,274.5,  28.0,k           , 13.79, 1.72,  50.0,11 38 27,-41 22.2
Gl 433.2,11 36 07,+45 23.1, 0.600,271.3, -17.3,G0 V        ,  6.45, 0.57,  40.0,11 38 45,+45 06.5
Gl 433.2,11 36 06,+45 23.1, 0.581,268.8, -18.9,K2 V        ,  8.40, 0.96,  40.0,11 38 44,+45 06.5
NN 3677 ,11 36 08,-12 55.6, 0.135, 36.4, -23.8,F7 V        ,  5.48, 0.52,  51.0,11 38 41,-13 12.1
NN 3678 ,11 36 21,+42 36.0, 0.454,343.2,  14.8,K5 V        ,  8.26, 0.96,  50.0,11 39 00,+42 19.7
NN 3679 ,11 36 29,-24 26.4, 0.248,172.8,  96.7,G6/8 V      ,  6.41, 0.82,  75.0,11 39 00,-24 43.2
Gl 434  ,11 38 25,+34 29.0, 0.386,181.9,  -5.9,G8 Ve       ,  5.33, 0.72, 116.0,11 41 03,+34 12.0
Gl 435  ,11 38 37,-44 07.9, 0.695,289.4,  13.3,K5 Ve       ,  7.77, 1.06,  79.8,11 41 02,-44 24.3
NN 3680 ,11 38 39,-28 55.3, 0.382,302.8, -12.1,G0 V        ,  6.44, 0.66,  31.7,11 41 08,-29 11.8
GJ 1148 ,11 39 09,+43 01.8, 0.612,258.8,      ,M3.5        , 11.90, 1.52,  89.1,11 41 45,+42 45.1
Gl 435.1,11 39 14,+05 25.5, 0.446,152.3,  19.0,K5          ,  9.60, 1.25,  45.0,11 41 49,+05 08.5
NN 3681 ,11 39 28,+15 03.0, 0.370,312.0,      ,M3.5        , 12.58, 1.48,  60.0,11 42 02,+14 46.6
Gl 436  ,11 39 31,+26 59.8, 1.080,135.5,   9.7,dM3.5       , 10.67, 1.52,  98.8,11 42 10,+26 42.5
NN 3682 ,11 40 48,+25 34.9, 0.204,256.0,      ,m           , 13.83,     ,  53.0,11 43 24,+25 18.2
Gl 438  ,11 40 49,-51 33.3, 0.860,128.6,   0.5,K0          , 10.36, 1.53, 119.0,11 43 20,-51 50.4
NN 3683 ,11 41 04,-57 44.0, 0.353,  3.5,      ,K1 V        ,  8.21, 0.91,  41.0,11 43 30,-58 00.4
Gl 439  ,11 42 04,+31 14.5, 0.386,184.2,  28.6,dK8         ,  8.96, 1.13,  44.0,11 44 41,+30 57.5
Gl 440  ,11 42 58,-64 33.5, 2.667, 97.2,      ,DQ6         , 11.50, 0.19, 218.5,11 45 43,-64 50.4
GJ 1149 ,11 43 03,+63 22.9, 0.381,202.0,      ,DC9         , 16.39, 0.66,  47.0,11 45 45,+63 05.9
Gl 441  ,11 43 08,+72 22.3, 0.050,  9.5, -25.1,dK8         ,  9.02, 1.17,  48.0,11 45 56,+72 05.7
Gl 443  ,11 44 08,-13 43.6, 1.035,132.6,-128.0,M3          , 11.69, 1.48,  82.0,11 46 43,-14 00.9
Gl 442  ,11 44 08,-40 13.7, 1.587,284.4,  15.3,G5 V        ,  4.90, 0.66,  97.1,11 46 31,-40 30.0
Gl 442  ,11 44 09,-40 13.4, 1.592,284.4,      ,            , 15.00,     ,  97.1,11 46 32,-40 29.7
NN 3684 ,11 44 23,+70 18.7, 0.365,263.0,      ,m           , 13.60,     ,  59.0,11 47 05,+70 02.0
GJ 1150 ,11 44 23,+51 15.4, 0.120,138.0,   1.8,dM0  p      ,  9.62, 1.26,  45.0,11 47 02,+50 58.7
Gl 444  ,11 44 32,-11 32.7, 0.210,254.8,  23.0,dK8         ,  9.02, 1.12,  45.0,11 47 04,-11 49.4
Gl 444  ,11 44 32,-11 32.7, 0.210,254.8,      ,            , 14.20,     ,  45.0,11 47 04,-11 49.4
Gl 445  ,11 44 35,+78 57.7, 0.863, 55.5,-112.2,sdM4        , 10.80, 1.60, 191.5,11 47 41,+78 41.4
Gl 446  ,11 44 45,-30 00.3, 0.353,229.4,  11.8,G5 V        ,  6.48, 0.68,  54.0,11 47 15,-30 17.2
NN 3685 ,11 45 08,+00 32.0, 0.303,253.0,      ,m           , 13.25,     ,  64.0,11 47 41,+00 15.3
NN 3686 ,11 45 09,+00 31.8, 0.303,253.0,      ,m           , 17.60,     ,  64.0,11 47 42,+00 15.1
Gl 447  ,11 45 09,+01 06.0, 1.348,152.0, -31.1,dM4.5       , 11.12, 1.75, 301.1,11 47 45,+00 48.3
NN 3687 ,11 45 33,-34 56.8, 0.165,247.5,  -0.1,G5/6 V      ,  7.09, 0.77,  49.0,11 48 03,-35 13.5
NN 3688 ,11 45 49,-11 00.5, 0.836,268.9,      ,k           , 12.90, 1.46,  44.0,11 48 19,-11 17.2
Gl 448  ,11 46 31,+14 51.1, 0.511,256.5,  -0.2,A3 V        ,  2.14, 0.09,  78.9,11 49 04,+14 34.3
Gl 449  ,11 48 05,+02 02.8, 0.789,110.4,   4.3,F9 V        ,  3.61, 0.55,  98.8,11 50 41,+01 45.9
GJ 1151 ,11 48 29,+48 40.1, 1.821,237.5, -34.0,m           , 13.25, 1.84, 121.8,11 50 58,+48 22.6
Gl 450  ,11 48 33,+35 32.8, 0.350,321.0,   0.5,M1 Ve       ,  9.73, 1.51, 123.5,11 51 08,+35 16.3
GJ 1152 ,11 49 02,+35 28.1, 0.110,255.7,  -9.3,G7 IV       ,  9.64, 0.78,  44.6,11 51 37,+35 11.4
NN 3689 ,11 49 48,+10 13.5, 0.356,286.1,  10.7,K0          ,  7.54, 1.06,  63.0,11 52 21,+09 56.9
NN 3690 ,11 49 45,+10 17.6, 0.340,289.0,      ,m           , 15.00,     ,  63.0,11 52 18,+10 01.0
Gl 451  ,11 50 06,+38 04.7, 7.053,145.4, -99.1,G8 VI       ,  6.45, 0.75, 116.0,11 52 59,+37 43.2
Gl 451  ,11 50 06,+38 04.7, 7.053,145.4,      ,            , 12.00,     , 116.0,11 52 59,+37 43.2
NN 3691 ,11 50 24,+24 45.3, 0.298,282.0,      ,m           , 14.60,     ,  54.0,11 52 58,+24 28.7
Gl 452  ,11 50 43,-07 05.3, 0.538,198.3,  26.7,M3          , 11.87, 1.54,  82.2,11 53 16,-07 22.4
Gl 452  ,11 50 44,-07 05.4, 0.538,198.3,      ,f           , 19.40,     ,  82.2,11 53 17,-07 22.5
NN 3692 ,11 50 45,-31 07.1, 1.140,263.1,      ,M4          , 13.61, 1.70,  60.0,11 53 13,-31 23.9
NN 3693 ,11 51 18,+07 17.3, 0.955,159.8, -60.0,M6  :       , 17.89, 1.72,  70.6,11 53 53,+06 59.9
Gl 452.1,11 51 34,+10 05.7, 0.785,173.9,      ,M3.5        , 12.77, 1.69,  96.1,11 54 08,+09 48.4
Wo 9376 ,11 51 54,-51 06.7, 0.340,314.0,      ,G5          , 10.97, 0.92,  39.0,11 54 24,-51 23.2
Gl 452.2,11 51 55,-37 28.3, 0.316,280.8, -11.5,F7 V        ,  6.75, 0.52,  28.0,11 54 26,-37 44.9
Gl 452.2,11 51 55,-37 28.3, 0.316,280.8,      ,            ,  8.10,     ,  28.0,11 54 26,-37 44.9
Gl 452.3,11 51 59,+19 41.4, 0.445,267.9,   5.9,dG6         ,  8.22, 0.71,  26.0,11 54 32,+19 24.7
Gl 452.3,11 52 02,+19 42.4, 0.444,268.4,   5.7,dG7         ,  8.43, 0.76,  26.0,11 54 35,+19 25.7
Gl 452.4,11 52 22,+29 01.2, 0.361,145.0,  -7.0,M0 Ve       , 10.52, 1.39,  42.0,11 54 58,+28 44.3
Gl 452.5,11 52 29,-55 48.9, 0.299,131.8,  51.1,G5 V        ,  7.29, 0.64,  33.0,11 55 01,-56 05.8
Gl 452.5,11 52 29,-55 48.9, 0.299,131.8,  55.7,            ,  7.70,     ,  33.0,11 55 01,-56 05.8
Wo 9381 ,11 52 36,+01 15.1, 0.741,272.4,      ,M1.5        , 11.50, 1.44,  48.0,11 55 07,+00 58.4
NN 3694 ,11 53 09,-18 37.6, 0.602,120.6,      ,m           , 14.30,     ,  45.0,11 55 44,-18 54.6
NN 3695 ,11 55 01,+12 06.2, 0.729,288.0,      ,M2.5        , 11.86, 1.45,  48.0,11 57 33,+11 49.7
Gl 453  ,11 55 27,-27 25.2, 1.246,240.1,  49.9,K5 V        ,  6.98, 1.15, 101.9,11 57 56,-27 42.4
NN 3696 ,11 55 43,+42 51.5, 0.405,161.0,      ,m           , 14.08,     ,  56.0,11 58 18,+42 34.5
NN 3697 ,11 56 27,+42 56.3, 0.326,285.0,      ,m           , 12.07,     ,  42.0,11 59 00,+42 39.7
GJ 1153 ,11 56 36,-20 04.2, 0.454,161.7, -12.0,K2 V        ,  7.94, 0.98,  50.0,11 59 10,-20 21.3
NN 3698 ,11 58 09,-13 32.5, 0.487,268.8,      ,M3          , 12.74, 1.55,  58.0,12 00 41,-13 49.2
NN 3699 ,11 58 08,-13 32.5, 0.487,268.8,      ,m           , 15.00,     ,  58.0,12 00 40,-13 49.2
Gl 454  ,11 58 10,-10 09.7, 0.501,168.1,   0.1,K0 IV       ,  5.55, 0.77,  78.2,12 00 44,-10 26.8
Gl 454.1,11 58 35,-01 27.4, 0.508,295.2,      ,K4          , 10.96, 1.12,  47.2,12 01 07,-01 43.9
NN 3700 ,11 59 07,-11 57.0, 0.253,199.0,      ,M5-6        , 12.34, 1.46,  50.0,12 01 41,-12 13.9
Gl 454.2,11 59 13,-34 22.3, 0.191,272.1,  -4.0,G0 V    J   ,  7.35, 0.59,  27.0,12 01 46,-34 39.0
Gl 454.2,11 59 13,-34 22.3, 0.191,272.1,      ,            ,  8.10,     ,  27.0,12 01 46,-34 39.0
Gl 454.3,11 59 47,+43 25.1, 0.017,253.0,   5.5,K0 V        ,  8.38, 1.15,  46.0,12 02 20,+43 08.4
Gl 455  ,11 59 48,+28 52.0, 0.791,268.3,      ,M3          , 12.84, 1.75,  49.3,12 02 19,+28 35.3
NN 3701 ,12 01 04,-42 08.7, 0.349,111.0,  38.9,F6 V        ,  5.15, 0.41,  37.1,12 03 40,-42 25.5
NN 3702 ,12 01 27,-32 44.8, 0.763,275.4,      ,M4.5        , 14.00,     ,  62.0,12 03 58,-33 01.4
NN 3703 ,12 02 40,+09 00.6, 0.226,280.8, -32.2,G8 IIIa CN  ,  4.13, 0.98,  40.4,12 05 13,+08 43.9
NN 3704 ,12 03 03,+69 49.1, 0.479,262.0,      ,M4          , 13.07,     ,  76.0,12 05 29,+69 32.4
Gl 455.1,12 03 17,-18 35.4, 0.297,163.0,      ,K5 V        ,  9.99, 1.34,  42.0,12 05 52,-18 52.3
Gl 455.2,12 04 15,-64 20.1, 0.057,137.9,   9.0,F2 III      ,  4.15, 0.34,  51.6,12 06 52,-64 36.8
Gl 455.3,12 05 50,-24 27.0, 0.099,116.4,   2.9,F2 III-IV   ,  4.02, 0.32,  70.7,12 08 25,-24 43.7
Gl 456  ,12 05 52,-00 12.2, 0.969,265.0,   4.9,dM2         , 11.24, 1.41,  69.1,12 08 23,-00 29.0
Wo 9390 ,12 06 53,-11 34.6, 0.355,118.8,   4.0,G2 V        ,  6.81, 0.66,  44.0,12 09 28,-11 51.4
Wo 9390 ,12 06 55,-11 34.5, 0.355,118.8,   2.8,K5          ,  9.20,     ,  44.0,12 09 30,-11 51.3
NN 3705 ,12 07 01,-03 16.5,      ,     ,      ,DA4         , 13.50,     ,  47.0,12 09 35,-03 33.2
NN 3706 ,12 07 07,+40 31.9, 0.321,259.6,   0.6,K0 V        ,  7.47, 0.79,  46.0,12 09 37,+40 15.2
Gl 456.1,12 07 20,-45 55.7, 0.382,255.9,  -4.2,K5 V        ,  8.45, 1.14,  52.0,12 09 55,-46 12.5
Gl 456.1,12 07 23,-45 54.8, 0.390,258.0,      ,m           , 13.25, 1.56,  52.0,12 09 58,-46 11.6
NN 3707 ,12 07 31,-14 47.0, 0.720,184.0,      ,m           , 12.06, 1.58, 112.0,12 10 05,-15 04.3
Wo 9393 ,12 08 26,+41 20.0, 0.229,355.7,      ,M2 V        , 10.67, 1.35,  44.0,12 10 57,+41 03.5
NN 3708 ,12 08 38,-19 40.8, 0.255,231.0,      ,M2:         , 11.68, 1.59,  74.0,12 11 12,-19 57.6
NN 3709 ,12 08 43,-19 41.5, 0.255,231.0,      ,m           , 12.62, 1.68,  74.0,12 11 17,-19 58.3
NN 3710 ,12 08 58,+57 41.1, 0.540,130.4,      ,DA9         , 15.79, 0.58,  49.4,12 11 30,+57 24.1
NN 3711 ,12 08 59,+53 42.1, 0.222,232.1,   4.3,K2          ,  8.03, 0.88,  44.0,12 11 28,+53 25.3
NN 3712 ,12 08 58,+53 41.9, 0.220,231.9,  -4.0,K3          ,  8.23,     ,  44.0,12 11 27,+53 25.1
Wo 9394 ,12 09 29,+13 32.7, 0.495,207.7,  95.0,F6 V-VI     , 10.18, 0.47,  41.4,12 12 01,+13 15.7
Gl 457  ,12 09 36,+59 12.3, 0.093, 90.6, -15.0,dM0         , 10.04, 1.28,  44.7,12 12 05,+58 55.6
NN 3713 ,12 09 40,+49 06.0, 0.360,143.0,      ,m           , 12.91,     ,  45.0,12 12 11,+48 49.1
Gl 458  ,12 09 50,+54 45.7, 0.244, 70.3, -17.6,dM1.5       ,  9.79, 1.43,  75.1,12 12 21,+54 29.1
Gl 458  ,12 09 51,+54 45.9, 0.244, 70.3,      ,m           , 13.33, 1.61,  75.1,12 12 22,+54 29.3
Wo 9395 ,12 09 52,-06 04.7, 0.410,221.0,      ,K3          ,  9.96, 1.00,  23.0,12 12 25,-06 21.6
NN 3714 ,12 09 57,+39 57.3, 0.239,130.0,      ,M2 V        , 11.41, 1.51,  50.0,12 12 29,+39 40.5
Gl 458.1,12 09 57,-02 48.7, 0.725,303.7,  14.3,G4 V        ,  7.43, 0.71,  46.5,12 12 29,-03 05.0
NN 3715 ,12 10 24,+10 19.2, 0.412,149.4,  -8.8,G8 V        ,  7.92, 0.79,  36.0,12 12 58,+10 02.2
Wo 9397 ,12 10 50,+16 58.7, 0.669,228.5,      ,M1.5        , 11.96, 1.45,  35.0,12 13 21,+16 41.7
NN 3716 ,12 10 53,+10 32.4, 0.094,261.4,   2.3,A2 m        ,  5.85, 0.27, 147.5,12 13 26,+10 15.7
GJ 1154 ,12 11 46,+00 54.2, 0.985,253.0,      ,m           , 13.73, 1.77, 118.2,12 14 17,+00 37.3
NN 3717 ,12 11 54,+24 52.4, 0.363,175.0,      ,m           , 12.16, 1.48,  41.0,12 14 26,+24 35.4
Gl 458.2,12 12 41,+49 00.7, 0.230,257.0, -16.4,M2 V        , 10.52, 1.46,  54.0,12 15 09,+48 44.0
Gl 459  ,12 12 58,+57 18.6, 0.102, 87.3, -13.4,A3 V        ,  3.30, 0.08,  56.5,12 15 26,+57 01.9
NN 3718 ,12 12 59,+39 27.9, 0.319,280.0,      ,m           , 11.89,     ,  40.0,12 15 28,+39 11.3
Gl 459.2,12 14 14,+44 40.8, 0.032,187.6, -53.0,K4 V        ,  9.18, 1.50,  44.0,12 16 43,+44 24.1
GJ 1155 ,12 14 20,+03 14.6, 0.706,292.5,   5.0,sdM3        , 13.28, 1.62,  46.0,12 16 51,+02 58.2
GJ 1155 ,12 14 20,+03 14.6, 0.706,292.5,      ,DA s        , 15.32, 0.38,  46.0,12 16 51,+02 58.2
NN 3719 ,12 14 28,+31 26.1, 0.090,251.0, -34.0,dM4-5e      , 14.15, 1.62,  51.0,12 16 59,+31 09.4
Wo 9403 ,12 15 21,+46 54.1, 0.456,257.3,  16.0,dM1.5e      , 11.50, 1.44,  33.0,12 17 47,+46 37.4
NN 3720 ,12 16 15,+30 02.5, 0.408,213.0,      ,m           , 16.32, 1.98,  65.0,12 18 45,+29 45.6
GJ 1156 ,12 16 32,+11 24.0, 1.301,279.1,      ,dM   e      , 13.81, 1.88, 152.9,12 19 00,+11 07.5
Gl 459.3,12 16 56,+28 39.5, 0.655,274.6,  -1.0,M2 V        , 10.63, 1.44,  49.8,12 19 24,+28 22.9
Gl 460  ,12 17 47,+26 16.7, 0.147,275.8,   7.2,F0 IV       ,  6.15, 0.30,  59.4,12 20 18,+26 00.1
Gl 461  ,12 17 52,+00 51.7, 0.090,103.0,   4.1,M0 V        , 10.10, 1.47,  63.0,12 20 26,+00 35.0
Gl 462  ,12 19 25,+42 25.1, 0.548,162.7,  15.4,M0 Ve       ,  9.45, 1.36,  79.5,12 21 54,+42 08.0
NN 3721 ,12 19 53,+25 27.0, 0.715,254.7,      ,M0          , 11.38, 1.34,  36.0,12 22 21,+25 10.2
GJ 1157 ,12 20 26,-46 20.7, 0.798,245.5,  42.0,k           , 13.62, 1.61,  69.0,12 23 03,-46 37.6
Gl 463  ,12 20 45,+64 18.2, 0.681,300.0,   7.7,M3          , 11.58, 1.45,  55.5,12 23 01,+64 01.9
NN 3722 ,12 21 13,+67 28.0, 0.240,120.0,      ,m           , 11.25,     ,  79.0,12 23 33,+67 11.3
